# Atomic Line List version: 3.00b3   Constructed: 2021-05-04 10:19 GMT
# Wavelength range: 3800 - 9000   Unit: Angstrom   Type: Air
# Radial velocity: 0 km/s
# Wavelength accuracy upper limit: 5%
# Element/Spectrum: H  I, He I-II, O I-IV, C I-IV, N I-V, Si I-IV, Mg I-IV, S I-IV (missing Ne I-IV, Ar I-IV)
# Minimum line strength: no restrictions
# Include lines without atomic data: true
# Minimum abundance: no minimum
# Lower level energy range: no restrictions   Unit: cm^-1
# Upper level energy range: no restrictions
# Maximum for principal quantum number n: 4 (+ no restrictions for H I, + some He n>4 at the bottom, + n5-12 with -log(gf) > 0 for the above elements)
# Transition types included: Nebular (E1,E2)
# Transitions from auto-ionizing levels: included
# Comment code: A-> activity, D -> diagnostic line (global), V -> vsini, Q -> affected by wind, Teff -> used for determination of Teff, RV_O/B/A -> good for RV determination

wl_air	   , dlamb  , spc   , tt, configuration                              , term               , J_i-J_k          , -lg(gf), tpf, level_energy(cm-1)     , ref    ,  name, comment
3825.1865  , 1.3e-03, O I   , E1,      2s2.2p3.(2Do).3s-2s2.2p3.(2Po).3p     ,       3Do-3D       ,      2 - 3       , -2.8943,   3,  101147.53 -  127282.63, ASD    ,      ,
3825.5046  , 1.3e-03, O I   , E1,      2s2.2p3.(2Do).3s-2s2.2p3.(2Po).3p     ,       3Do-3D       ,      1 - 2       , -2.9101,   3,  101155.42 -  127288.35, ASD    ,      ,
3825.9     , 2.9e+00, N II  , E1,        2s.2p2.(4P).3d-2s.2p2.(2D).3p       ,        3P-3Do      ,      1 - 1       ,        ,    ,  246885.50 -  273016.00, 030    ,      ,
3826.925   , 1.3e-02, O II  , E1,       2s2.2p2.(3P).4s-2s2.2p2.(1D).4p      ,        2P-2Do      ,    3/2 - 5/2     , -1.2567,   3,  240517.35 -  266640.58, ASD    ,      ,
3828.414   , 1.0e-02, N II  , E1,       2s2.2p.(2Po).4p-2s.2p2.(4P).3p       ,        3P-3Do      ,      1 - 1       , -1.0227,   3,  203188.83 -  229301.90, 030    ,      ,
3828.626   , 1.0e-02, N II  , E1,       2s2.2p.(2Po).4p-2s.2p2.(4P).3p       ,        3P-3Do      ,      2 - 3       , -0.2745,   3,  203258.78 -  229370.40, 030    ,      ,
3829.0     , 1.3e+00, O IV  , E1,           2p2.(3P).3s-2p2.(3P).3p          ,        4P-4Do      ,    1/2 - 3/2     , -0.5939,   3,  576853.00 -  602962.00, ASD    ,      ,
3829.308   , 1.3e-02, O II  , E1,       2s2.2p2.(3P).4s-2s2.2p2.(1D).4p      ,        2P-2Do      ,    3/2 - 3/2     , -2.2112,   3,  240517.35 -  266624.32, ASD    ,      ,
3829.3547  , 1.3e-03, Mg I  , E1,                 3s.3p-3s.3d                ,       3Po-3D       ,      0 - 1       , -0.2265,  17,   21850.40 -   47957.06, ASD    ,      ,
3829.4     , 2.9e+00, N II  , E1,        2s.2p2.(4P).3d-2s.2p2.(2D).3p       ,        3P-3Do      ,      0 - 1       ,        ,    ,  246909.90 -  273016.00, 030    ,      ,
3829.795   , 1.0e-02, N II  , E1,       2s2.2p.(2Po).3p-2s2.2p.(2Po).4s      ,        3P-3Po      ,      1 - 2       , -0.5846,   3,  170607.69 -  196711.34, 030    ,      ,
3830.281   , 9.3e-03, O II  , E1,       2s2.2p2.(3P).3p-2s2.2p2.(3P).4s      ,       2Po-2P       ,    3/2 - 1/2     , -1.1999,  15,  214229.67 -  240330.01, ASD    ,      ,
3830.4343  , 1.3e-03, N I   , E1,       2s2.2p2.(3P).3s-2s2.2p2.(1D).3p      ,        2P-2Po      ,    3/2 - 3/2     , -1.7047,   3,   86220.51 -  112319.80, ASD    ,      ,
